#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.871466784454e+01       2.028430409718e-04      -1.332072587904e+00       2.326830477280e-05       8.027210622835e-07       2.006802655709e-06       3.922470590186e-11       4.013605311417e-07      -9.990544409279e-01       2.326830477280e-05       6.008218487278e-01       6.672795948281e-01      -1.332072587904e+00       2.326036413023e-05       2.381934432721e-04      -9.990544409279e-01       2.327909055713e-05      -1.840410052591e-03      -1.874573041308e-08       2.383483618427e-04       3.332066550012e-01      -9.990544409279e-01       2.326830477295e-05      -1.275954718996e+00       2.326830477294e-05 
       7.871466928595e+01       2.028430451487e-04      -1.332072588073e+00       2.326830515906e-05       8.027211085604e-07       2.006802771401e-06       3.922470978020e-11       4.013605542802e-07      -9.990544410546e-01       2.326830515906e-05       6.008218489331e-01       6.672795947971e-01      -1.332072588073e+00       2.326036451604e-05       2.381934522116e-04      -9.990544410546e-01       2.327909094395e-05      -1.840410118622e-03      -1.874573141955e-08       2.383483707842e-04       3.332066549960e-01      -9.990544410546e-01       2.326830515934e-05      -1.275954718764e+00       2.326830515934e-05 
       7.871467072735e+01       2.028430493255e-04      -1.332072588242e+00       2.326830554532e-05       8.027211548373e-07       2.006802887093e-06       3.922471365854e-11       4.013605774186e-07      -9.990544411813e-01       2.326830554532e-05       6.008218491384e-01       6.672795947660e-01      -1.332072588242e+00       2.326036490184e-05       2.381934611511e-04      -9.990544411813e-01       2.327909133076e-05      -1.840410184652e-03      -1.874573242603e-08       2.383483797258e-04       3.332066549908e-01      -9.990544411813e-01       2.326830554573e-05      -1.275954718533e+00       2.326830554573e-05 
       7.871468514137e+01       2.028430910938e-04      -1.332072589931e+00       2.326830940788e-05       8.027216176062e-07       2.006804044016e-06       3.922475244199e-11       4.013608088031e-07      -9.990544424481e-01       2.326830940789e-05       6.008218511912e-01       6.672795944556e-01      -1.332072589931e+00       2.326036875992e-05       2.381935505460e-04      -9.990544424483e-01       2.327909519889e-05      -1.840410844957e-03      -1.874574249078e-08       2.383484691414e-04       3.332066549387e-01      -9.990544424481e-01       2.326830940968e-05      -1.275954716215e+00       2.326830940968e-05 
       7.871469955539e+01       2.028431328622e-04      -1.332072591620e+00       2.326831327045e-05       8.027220803754e-07       2.006805200939e-06       3.922479122547e-11       4.013610401877e-07      -9.990544437149e-01       2.326831327046e-05       6.008218532439e-01       6.672795941451e-01      -1.332072591620e+00       2.326037261799e-05       2.381936399409e-04      -9.990544437153e-01       2.327909906703e-05      -1.840411505261e-03      -1.874575255553e-08       2.383485585570e-04       3.332066548865e-01      -9.990544437149e-01       2.326831327363e-05      -1.275954713898e+00       2.326831327362e-05 
       7.871471396941e+01       2.028431746305e-04      -1.332072593309e+00       2.326831713302e-05       8.027225431448e-07       2.006806357862e-06       3.922483000898e-11       4.013612715724e-07      -9.990544449817e-01       2.326831713303e-05       6.008218552967e-01       6.672795938346e-01      -1.332072593308e+00       2.326037647606e-05       2.381937293358e-04      -9.990544449822e-01       2.327910293516e-05      -1.840412165566e-03      -1.874576262029e-08       2.383486479727e-04       3.332066548344e-01      -9.990544449817e-01       2.326831713757e-05      -1.275954711581e+00       2.326831713757e-05 
       7.871485810961e+01       2.028435923140e-04      -1.332072610201e+00       2.326835575869e-05       8.027271708489e-07       2.006817927122e-06       3.922521784584e-11       4.013635854245e-07      -9.990544576506e-01       2.326835575874e-05       6.008218758242e-01       6.672795907296e-01      -1.332072610199e+00       2.326041505680e-05       2.381946232856e-04      -9.990544576527e-01       2.327914161649e-05      -1.840418768620e-03      -1.874586326805e-08       2.383495421299e-04       3.332066543132e-01      -9.990544576506e-01       2.326835577704e-05      -1.275954688409e+00       2.326835577704e-05 
       7.871500224981e+01       2.028440099976e-04      -1.332072627094e+00       2.326839438436e-05       8.027317985720e-07       2.006829496430e-06       3.922560568587e-11       4.013658992860e-07      -9.990544703202e-01       2.326839438446e-05       6.008218963516e-01       6.672795876244e-01      -1.332072627090e+00       2.326045363754e-05       2.381955172369e-04      -9.990544703238e-01       2.327918029783e-05      -1.840425371683e-03      -1.874596391618e-08       2.383504362886e-04       3.332066537920e-01      -9.990544703202e-01       2.326839441651e-05      -1.275954665239e+00       2.326839441651e-05 
       7.871514639001e+01       2.028444276815e-04      -1.332072643987e+00       2.326843301004e-05       8.027364263138e-07       2.006841065784e-06       3.922599352907e-11       4.013682131569e-07      -9.990544829905e-01       2.326843301018e-05       6.008219168788e-01       6.672795845189e-01      -1.332072643982e+00       2.326049221828e-05       2.381964111897e-04      -9.990544829956e-01       2.327921897917e-05      -1.840431974757e-03      -1.874606456468e-08       2.383513304487e-04       3.332066532708e-01      -9.990544829905e-01       2.326843305599e-05      -1.275954642070e+00       2.326843305599e-05 
       7.871529053021e+01       2.028448453655e-04      -1.332072660882e+00       2.326847163572e-05       8.027410540743e-07       2.006852635186e-06       3.922638137543e-11       4.013705270371e-07      -9.990544956613e-01       2.326847163591e-05       6.008219374058e-01       6.672795814133e-01      -1.332072660875e+00       2.326053079903e-05       2.381973051439e-04      -9.990544956681e-01       2.327925766052e-05      -1.840438577840e-03      -1.874616521354e-08       2.383522246104e-04       3.332066527496e-01      -9.990544956613e-01       2.326847169547e-05      -1.275954618902e+00       2.326847169547e-05 
       7.871634686452e+01       2.028479063760e-04      -1.332072784717e+00       2.326875470488e-05       8.027749692802e-07       2.006937423201e-06       3.922922381169e-11       4.013874846401e-07      -9.990545885379e-01       2.326875470537e-05       6.008220878347e-01       6.672795586476e-01      -1.332072784699e+00       2.326081353887e-05       2.382038565506e-04      -9.990545885560e-01       2.327954113760e-05      -1.840486968970e-03      -1.874690283190e-08       2.383587775368e-04       3.332066489300e-01      -9.990545885379e-01       2.326875486575e-05      -1.275954449151e+00       2.326875486574e-05 
       7.871740319883e+01       2.028509673956e-04      -1.332072908595e+00       2.326903777416e-05       8.028088854920e-07       2.007022213730e-06       3.923206641789e-11       4.014044427460e-07      -9.990546814462e-01       2.326903777497e-05       6.008222382564e-01       6.672795358714e-01      -1.332072908566e+00       2.326109627884e-05       2.382104080368e-04      -9.990546814757e-01       2.327982461484e-05      -1.840535360636e-03      -1.874764046997e-08       2.383653305427e-04       3.332066451102e-01      -9.990546814462e-01       2.326903803616e-05      -1.275954279458e+00       2.326903803616e-05 
       7.871845953315e+01       2.028540284243e-04      -1.332073032515e+00       2.326932084358e-05       8.028428027097e-07       2.007107006774e-06       3.923490919401e-11       4.014214013548e-07      -9.990547743861e-01       2.326932084471e-05       6.008223886710e-01       6.672795130847e-01      -1.332073032475e+00       2.326137901893e-05       2.382169596026e-04      -9.990547744271e-01       2.328010809221e-05      -1.840583752837e-03      -1.874837812773e-08       2.383718836282e-04       3.332066412904e-01      -9.990547743861e-01       2.326932120671e-05      -1.275954109825e+00       2.326932120671e-05 
       7.871951586746e+01       2.028570894621e-04      -1.332073156477e+00       2.326960391314e-05       8.028767209332e-07       2.007191802333e-06       3.923775214009e-11       4.014383604666e-07      -9.990548673578e-01       2.326960391458e-05       6.008225390783e-01       6.672794902876e-01      -1.332073156426e+00       2.326166175914e-05       2.382235112479e-04      -9.990548674101e-01       2.328039156973e-05      -1.840632145573e-03      -1.874911580519e-08       2.383784367932e-04       3.332066374706e-01      -9.990548673578e-01       2.326960437740e-05      -1.275953940252e+00       2.326960437740e-05 
       7.872587924988e+01       2.028755294173e-04      -1.332073904123e+00       2.327130913357e-05       8.030810663825e-07       2.007702665956e-06       3.925488170922e-11       4.015405331913e-07      -9.990554280921e-01       2.327130913689e-05       6.008234449840e-01       6.672793527358e-01      -1.332073904004e+00       2.326336499539e-05       2.382629801954e-04      -9.990554282130e-01       2.328209924795e-05      -1.840923675861e-03      -1.875356000809e-08       2.384179148937e-04       3.332066144581e-01      -9.990554280921e-01       2.327131020713e-05      -1.275952920002e+00       2.327131020713e-05 
       7.873224263230e+01       2.028939697026e-04      -1.332074653304e+00       2.327301435892e-05       8.032854483435e-07       2.008213620859e-06       3.927201744788e-11       4.016427241717e-07      -9.990559899778e-01       2.327301436414e-05       6.008243506290e-01       6.672792148038e-01      -1.332074653118e+00       2.326506823621e-05       2.383024520306e-04      -9.990559901675e-01       2.328380693145e-05      -1.841215225572e-03      -1.875800492588e-08       2.384573958803e-04       3.332065914432e-01      -9.990559899778e-01       2.327301604191e-05      -1.275951901917e+00       2.327301604191e-05 
       7.873860601473e+01       2.029124103181e-04      -1.332075404022e+00       2.327471958924e-05       8.034898668239e-07       2.008724667060e-06       3.928915935812e-11       4.017449334119e-07      -9.990565530164e-01       2.327471959634e-05       6.008252560128e-01       6.672790764911e-01      -1.332075403768e+00       2.326677148163e-05       2.383419267535e-04      -9.990565532747e-01       2.328551462026e-05      -1.841506794708e-03      -1.876245055863e-08       2.384968797531e-04       3.332065684257e-01      -9.990565530164e-01       2.327472188177e-05      -1.275950885998e+00       2.327472188177e-05 
       7.874496939715e+01       2.029308512636e-04      -1.332076156279e+00       2.327642482456e-05       8.036943218316e-07       2.009235804579e-06       3.930630744204e-11       4.018471609158e-07      -9.990571172090e-01       2.327642483355e-05       6.008261611350e-01       6.672789377974e-01      -1.332076155958e+00       2.326847473169e-05       2.383814043642e-04      -9.990571175360e-01       2.328722231443e-05      -1.841798383271e-03      -1.876689690641e-08       2.385363665125e-04       3.332065454058e-01      -9.990571172090e-01       2.327642772676e-05      -1.275949872248e+00       2.327642772676e-05 
       7.875824658552e+01       2.029693293332e-04      -1.332077730824e+00       2.327998281190e-05       8.041210345653e-07       2.010302586413e-06       3.934210678294e-11       4.020605172826e-07      -9.990582981177e-01       2.327998282484e-05       6.008280488270e-01       6.672786471842e-01      -1.332077730362e+00       2.327202857562e-05       2.384637836414e-04      -9.990582985881e-01       2.329078543329e-05      -1.842406844952e-03      -1.877617650738e-08       2.386187648753e-04       3.332064973667e-01      -9.990582981178e-01       2.327998698657e-05      -1.275947764050e+00       2.327998698656e-05 
       7.877152377389e+01       2.030078088400e-04      -1.332079312085e+00       2.328354082144e-05       8.045479064335e-07       2.011369766084e-06       3.937793302905e-11       4.022739532168e-07      -9.990594840635e-01       2.328354083833e-05       6.008299353754e-01       6.672783549077e-01      -1.332079311482e+00       2.327558244017e-05       2.385461754904e-04      -9.990594846773e-01       2.329434857589e-05      -1.843015391225e-03      -1.878545922208e-08       2.387011758072e-04       3.332064493167e-01      -9.990594840636e-01       2.328354626911e-05      -1.275945665307e+00       2.328354626911e-05 
