# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.149872820858e-02       2.945640105959e+04 
       1.161474200476e-02       2.948866492833e+04 
       1.173079151012e-02       2.951792279634e+04 
       1.184687660715e-02       2.954401020989e+04 
       1.196299720506e-02       2.956723919447e+04 
       1.207915323910e-02       2.958762210072e+04 
       1.219534466994e-02       2.960507650048e+04 
       1.231157148298e-02       2.961971759290e+04 
       1.242783368787e-02       2.963164526549e+04 
       1.254413131794e-02       2.964078157470e+04 
       1.266046442974e-02       2.964725128169e+04 
       1.277683310262e-02       2.965106369965e+04 
       1.289323743830e-02       2.965235580125e+04 
       1.296249739193e-02       2.965196350278e+04 
       1.300967756052e-02       2.965103090209e+04 
       1.312615361472e-02       2.964715701714e+04 
       1.324266576773e-02       2.964098627913e+04 
       1.335921420749e-02       2.963219103828e+04 
       1.347579914287e-02       2.962121798334e+04 
       1.359242080337e-02       2.960769516904e+04 
       1.370907943901e-02       2.959209282136e+04 
       1.382577532016e-02       2.957411210934e+04 
       1.394250873737e-02       2.955389651960e+04 
       1.405928000130e-02       2.953157019094e+04 
       1.417608944263e-02       2.950706925256e+04 
       1.429293741198e-02       2.948040588820e+04 
       1.440982427988e-02       2.945180222361e+04 
       1.452675043675e-02       2.942104577086e+04 
       1.464371629289e-02       2.938828253047e+04 
       1.476072227851e-02       2.935387953822e+04 
       1.487776884376e-02       2.931726478624e+04 
       1.499485645880e-02       2.927899415332e+04 
       1.511198561384e-02       2.923874184750e+04 
       1.522915681929e-02       2.919675905629e+04 
       1.534637060582e-02       2.915304022647e+04 
       1.546362752450e-02       2.910753927991e+04 
       1.558092814697e-02       2.906031197555e+04 
       1.569827306556e-02       2.901146478824e+04 
       1.581566289352e-02       2.896105783985e+04 
       1.593309826515e-02       2.890920716713e+04 
       1.605057983607e-02       2.885559773671e+04 
       1.616810828342e-02       2.880046319379e+04 
       1.628568430609e-02       2.874397120257e+04 
       1.640330862501e-02       2.868597263741e+04 
       1.652098198341e-02       2.862652285442e+04 
       1.663870514709e-02       2.856582244530e+04 
       1.675647890477e-02       2.850368730093e+04 
       1.687430406838e-02       2.844015241986e+04 
       1.699218147342e-02       2.837557381371e+04 
       1.711011197929e-02       2.830950971577e+04 
