# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.149872820858e-02       2.962704381841e+04 
       1.161474200476e-02       2.966126061568e+04 
       1.173079151012e-02       2.969245880047e+04 
       1.184687660715e-02       2.972047214238e+04 
       1.196299720506e-02       2.974561417865e+04 
       1.207915323910e-02       2.976789673708e+04 
       1.219534466994e-02       2.978723618279e+04 
       1.231157148298e-02       2.980374791279e+04 
       1.242783368787e-02       2.981753193199e+04 
       1.254413131794e-02       2.982850911754e+04 
       1.266046442974e-02       2.983680454547e+04 
       1.277683310262e-02       2.984242700076e+04 
       1.289323743830e-02       2.984551390820e+04 
       1.296249739193e-02       2.984618205611e+04 
       1.300967756052e-02       2.984596725704e+04 
       1.312615361472e-02       2.984385499357e+04 
       1.324266576773e-02       2.983943066485e+04 
       1.335921420749e-02       2.983236345210e+04 
       1.347579914287e-02       2.982310305360e+04 
       1.359242080337e-02       2.981127395392e+04 
       1.370907943901e-02       2.979734967068e+04 
       1.382577532016e-02       2.978102836670e+04 
       1.394250873737e-02       2.976245416501e+04 
       1.405928000130e-02       2.974175172055e+04 
       1.417608944263e-02       2.971885608876e+04 
       1.429293741198e-02       2.969377901754e+04 
       1.440982427988e-02       2.966674405300e+04 
       1.452675043675e-02       2.963753631951e+04 
       1.464371629289e-02       2.960630258386e+04 
       1.476072227851e-02       2.957341271162e+04 
       1.487776884376e-02       2.953828900676e+04 
       1.499485645880e-02       2.950149193610e+04 
       1.511198561384e-02       2.946269221397e+04 
       1.522915681929e-02       2.942214288276e+04 
       1.534637060582e-02       2.937983787356e+04 
       1.546362752450e-02       2.933573019451e+04 
       1.558092814697e-02       2.928987566400e+04 
       1.569827306556e-02       2.924238133321e+04 
       1.581566289352e-02       2.919330747510e+04 
       1.593309826515e-02       2.914277085844e+04 
       1.605057983607e-02       2.909045284952e+04 
       1.616810828342e-02       2.903658898783e+04 
       1.628568430609e-02       2.898134823540e+04 
       1.640330862501e-02       2.892457952084e+04 
       1.652098198341e-02       2.886633834658e+04 
       1.663870514709e-02       2.880682701168e+04 
       1.675647890477e-02       2.874585906448e+04 
       1.687430406838e-02       2.868346945689e+04 
       1.699218147342e-02       2.862001766861e+04 
       1.711011197929e-02       2.855505675062e+04 
       1.722809646970e-02       2.848885778020e+04 
       1.734613585302e-02       2.842159606196e+04 
       1.746423106270e-02       2.835301142206e+04 
       1.758238305772e-02       2.828342283806e+04 
       1.770059282297e-02       2.821278150950e+04 
       1.781886136978e-02       2.814083102378e+04 
       1.793718973632e-02       2.806795980530e+04 
       1.805557898815e-02       2.799398084005e+04 
       1.817403021871e-02       2.791902224170e+04 
       1.829254454985e-02       2.784311171275e+04 
       1.841112313237e-02       2.776609048098e+04 
       1.852976714661e-02       2.768841320551e+04 
       1.864847780300e-02       2.760982333341e+04 
       1.876725634273e-02       2.753028045737e+04 
       1.888610403830e-02       2.744981692404e+04 
       1.900502219424e-02       2.736875113485e+04 
       1.912401214773e-02       2.728658240888e+04 
       1.924307526934e-02       2.720389946934e+04 
       1.936221296369e-02       2.712039864845e+04 
       1.948142667024e-02       2.703621953704e+04 
       1.960071786405e-02       2.695136445209e+04 
       1.972008805650e-02       2.686571352030e+04 
       1.983953879622e-02       2.677966834525e+04 
       1.995907166982e-02       2.669281414388e+04 
       2.007868830282e-02       2.660542193738e+04 
       2.019839036052e-02       2.651739158559e+04 
       2.031817954894e-02       2.642883445692e+04 
       2.043805761574e-02       2.633987709132e+04 
       2.055802635123e-02       2.625026624148e+04 
       2.067808758940e-02       2.616030772887e+04 
       2.079824320889e-02       2.606977871565e+04 
       2.091849513417e-02       2.597881635553e+04 
       2.103884533657e-02       2.588749048511e+04 
       2.115929583546e-02       2.579580876987e+04 
       2.127984869946e-02       2.570374556719e+04 
       2.140050604761e-02       2.561106084982e+04 
       2.152127005067e-02       2.551807392502e+04 
       2.164214293241e-02       2.542501599940e+04 
       2.176312697097e-02       2.533147755805e+04 
       2.188422450021e-02       2.523780858838e+04 
       2.200543791118e-02       2.514358519369e+04 
       2.212676965359e-02       2.504935939703e+04 
       2.224822223732e-02       2.495487754377e+04 
       2.236979823402e-02       2.485999817379e+04 
       2.249150027874e-02       2.476504826781e+04 
       2.261333107160e-02       2.466996598755e+04 
       2.273529337952e-02       2.457453009238e+04 
       2.285739003806e-02       2.447897500978e+04 
       2.297962395322e-02       2.438339688385e+04 
       2.310199810342e-02       2.428751486143e+04 
       2.322451554145e-02       2.419162761480e+04 
       2.334717939653e-02       2.409562005691e+04 
       2.346999287643e-02       2.399962389594e+04 
       2.359295926968e-02       2.390324713454e+04 
       2.371608194784e-02       2.380689772031e+04 
       2.383936436785e-02       2.371072740660e+04 
       2.396281007446e-02       2.361431569329e+04 
       2.408642270276e-02       2.351791505508e+04 
       2.421020598080e-02       2.342158123806e+04 
       2.433416373227e-02       2.332510595078e+04 
       2.445829987931e-02       2.322868071453e+04 
       2.458261844544e-02       2.313218128215e+04 
       2.470712355853e-02       2.303585324047e+04 
       2.483181945395e-02       2.293951406551e+04 
       2.495671047780e-02       2.284321398562e+04 
       2.508180109024e-02       2.274693408676e+04 
       2.520709586901e-02       2.265067401511e+04 
       2.533259951302e-02       2.255470108790e+04 
       2.545831684612e-02       2.245863303185e+04 
       2.558425282095e-02       2.236272862084e+04 
       2.571041252306e-02       2.226708367589e+04 
       2.583680117504e-02       2.217120984779e+04 
       2.596342414094e-02       2.207550924827e+04 
       2.609028693077e-02       2.198009853367e+04 
       2.621739520525e-02       2.188470341662e+04 
