# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.149872820858e-02       2.935125451096e+04 
       1.161474200476e-02       2.938263291221e+04 
       1.173079151012e-02       2.941102251293e+04 
       1.184687660715e-02       2.943625949610e+04 
       1.196299720506e-02       2.945865476948e+04 
       1.207915323910e-02       2.947822060803e+04 
       1.219534466994e-02       2.949487483410e+04 
       1.231157148298e-02       2.950873215618e+04 
       1.242783368787e-02       2.951989200568e+04 
       1.254413131794e-02       2.952827663859e+04 
       1.266046442974e-02       2.953401025367e+04 
       1.277683310262e-02       2.953710203234e+04 
       1.289323743830e-02       2.953768833019e+04 
       1.296249739193e-02       2.953688305086e+04 
       1.300967756052e-02       2.953567274262e+04 
       1.312615361472e-02       2.953112294165e+04 
       1.324266576773e-02       2.952429000229e+04 
       1.335921420749e-02       2.951484747941e+04 
       1.347579914287e-02       2.950324024929e+04 
       1.359242080337e-02       2.948909777191e+04 
       1.370907943901e-02       2.947288835926e+04 
       1.382577532016e-02       2.945431431808e+04 
       1.394250873737e-02       2.943351852117e+04 
       1.405928000130e-02       2.941062456692e+04 
       1.417608944263e-02       2.938556880420e+04 
       1.429293741198e-02       2.935836333659e+04 
       1.440982427988e-02       2.932922935058e+04 
       1.452675043675e-02       2.929795520519e+04 
       1.464371629289e-02       2.926468628306e+04 
       1.476072227851e-02       2.922978807490e+04 
       1.487776884376e-02       2.919269095170e+04 
       1.499485645880e-02       2.915394847160e+04 
       1.511198561384e-02       2.911323622955e+04 
       1.522915681929e-02       2.907080438503e+04 
       1.534637060582e-02       2.902664745555e+04 
       1.546362752450e-02       2.898071962918e+04 
       1.558092814697e-02       2.893307651817e+04 
       1.569827306556e-02       2.888382425182e+04 
       1.581566289352e-02       2.883302282565e+04 
       1.593309826515e-02       2.878078792799e+04 
       1.605057983607e-02       2.872680609309e+04 
       1.616810828342e-02       2.867131016023e+04 
       1.628568430609e-02       2.861446728873e+04 
       1.640330862501e-02       2.855612927384e+04 
       1.652098198341e-02       2.849635151139e+04 
       1.663870514709e-02       2.843533399565e+04 
       1.675647890477e-02       2.837289376054e+04 
       1.687430406838e-02       2.830906598206e+04 
       1.699218147342e-02       2.824420539263e+04 
       1.711011197929e-02       2.817787257603e+04 
       1.722809646970e-02       2.811033519604e+04 
       1.734613585302e-02       2.804176651585e+04 
       1.746423106270e-02       2.797191110015e+04 
       1.758238305772e-02       2.790108357478e+04 
       1.770059282297e-02       2.782923650877e+04 
       1.781886136978e-02       2.775611820457e+04 
       1.793718973632e-02       2.768211143423e+04 
       1.805557898815e-02       2.760703272588e+04 
       1.817403021871e-02       2.753100860587e+04 
       1.829254454985e-02       2.745406676054e+04 
       1.841112313237e-02       2.737605146469e+04 
       1.852976714661e-02       2.729741015682e+04 
       1.864847780300e-02       2.721789084630e+04 
       1.876725634273e-02       2.713745408862e+04 
       1.888610403830e-02       2.705613193106e+04 
       1.900502219424e-02       2.697423748784e+04 
