#scalar perturbations for mode k = 5.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       1.434779940386e+01       3.322604914509e-05      -1.234659022503e+00       1.078362069845e-04       9.338040067601e-08       2.334510016900e-07       5.691037134798e-13       4.669020033800e-08      -9.259942668773e-01       1.078362069845e-04       6.076381660246e-01       6.915885843867e-01      -1.234659022503e+00       1.078108156338e-04       2.026720099710e-04      -9.259942668773e-01       1.078855824280e-04      -1.682679852974e-03      -7.484390628263e-08       2.028789686835e-04       3.333299311887e-01      -9.259942668773e-01       1.078362069845e-04      -1.228666498341e+00       1.078362069845e-04 
       1.434779960842e+01       3.322604963058e-05      -1.234659022890e+00       1.078362085135e-04       9.338040472762e-08       2.334510118191e-07       5.691037548033e-13       4.669020236381e-08      -9.259942671674e-01       1.078362085135e-04       6.076381659520e-01       6.915885842974e-01      -1.234659022890e+00       1.078108171618e-04       2.026720158514e-04      -9.259942671674e-01       1.078855839592e-04      -1.682679900468e-03      -7.484390947147e-08       2.028789745699e-04       3.333299311886e-01      -9.259942671674e-01       1.078362085137e-04      -1.228666498572e+00       1.078362085136e-04 
       1.434779981299e+01       3.322605011606e-05      -1.234659023277e+00       1.078362100426e-04       9.338040877923e-08       2.334510219481e-07       5.691037961267e-13       4.669020438962e-08      -9.259942674575e-01       1.078362100426e-04       6.076381658793e-01       6.915885842080e-01      -1.234659023277e+00       1.078108186897e-04       2.026720217319e-04      -9.259942674575e-01       1.078855854903e-04      -1.682679947963e-03      -7.484391266032e-08       2.028789804563e-04       3.333299311885e-01      -9.259942674575e-01       1.078362100428e-04      -1.228666498803e+00       1.078362100428e-04 
       1.434780185861e+01       3.322605497092e-05      -1.234659027145e+00       1.078362253330e-04       9.338044929537e-08       2.334511232384e-07       5.691042093614e-13       4.669022464769e-08      -9.259942703585e-01       1.078362253330e-04       6.076381651530e-01       6.915885833145e-01      -1.234659027145e+00       1.078108339692e-04       2.026720805363e-04      -9.259942703587e-01       1.078856008016e-04      -1.682680422909e-03      -7.484394454876e-08       2.028790393200e-04       3.333299311875e-01      -9.259942703585e-01       1.078362253339e-04      -1.228666501114e+00       1.078362253339e-04 
       1.434780390423e+01       3.322605982578e-05      -1.234659031013e+00       1.078362406235e-04       9.338048981152e-08       2.334512245288e-07       5.691046225963e-13       4.669024490576e-08      -9.259942732596e-01       1.078362406235e-04       6.076381644267e-01       6.915885824210e-01      -1.234659031013e+00       1.078108492486e-04       2.026721393406e-04      -9.259942732598e-01       1.078856161129e-04      -1.682680897855e-03      -7.484397643720e-08       2.028790981838e-04       3.333299311865e-01      -9.259942732596e-01       1.078362406250e-04      -1.228666503425e+00       1.078362406250e-04 
       1.434780594986e+01       3.322606468063e-05      -1.234659034881e+00       1.078362559139e-04       9.338053032768e-08       2.334513258192e-07       5.691050358314e-13       4.669026516384e-08      -9.259942761606e-01       1.078362559139e-04       6.076381637003e-01       6.915885815276e-01      -1.234659034881e+00       1.078108645281e-04       2.026721981450e-04      -9.259942761609e-01       1.078856314242e-04      -1.682681372801e-03      -7.484400832566e-08       2.028791570476e-04       3.333299311855e-01      -9.259942761606e-01       1.078362559161e-04      -1.228666505736e+00       1.078362559161e-04 
       1.434782640610e+01       3.322611322921e-05      -1.234659073561e+00       1.078364088185e-04       9.338093548997e-08       2.334523387249e-07       5.691091681964e-13       4.669046774499e-08      -9.259943051711e-01       1.078364088185e-04       6.076381564369e-01       6.915885725927e-01      -1.234659073561e+00       1.078110173227e-04       2.026727861894e-04      -9.259943051724e-01       1.078857845374e-04      -1.682686122267e-03      -7.484432721072e-08       2.028797456859e-04       3.333299311755e-01      -9.259943051711e-01       1.078364088272e-04      -1.228666528847e+00       1.078364088272e-04 
       1.434784686234e+01       3.322616177779e-05      -1.234659112242e+00       1.078365617230e-04       9.338134065346e-08       2.334533516336e-07       5.691133005856e-13       4.669067032673e-08      -9.259943341816e-01       1.078365617230e-04       6.076381491735e-01       6.915885636578e-01      -1.234659112241e+00       1.078111701173e-04       2.026733742347e-04      -9.259943341840e-01       1.078859376506e-04      -1.682690871739e-03      -7.484464609667e-08       2.028803343251e-04       3.333299311656e-01      -9.259943341816e-01       1.078365617384e-04      -1.228666551957e+00       1.078365617384e-04 
       1.434786731858e+01       3.322621032637e-05      -1.234659150923e+00       1.078367146276e-04       9.338174581813e-08       2.334543645453e-07       5.691174329990e-13       4.669087290906e-08      -9.259943631922e-01       1.078367146276e-04       6.076381419102e-01       6.915885547230e-01      -1.234659150921e+00       1.078113229119e-04       2.026739622807e-04      -9.259943631955e-01       1.078860907638e-04      -1.682695621217e-03      -7.484496498353e-08       2.028809229651e-04       3.333299311557e-01      -9.259943631922e-01       1.078367146495e-04      -1.228666575068e+00       1.078367146495e-04 
       1.434788777483e+01       3.322625887495e-05      -1.234659189604e+00       1.078368675321e-04       9.338215098398e-08       2.334553774599e-07       5.691215654366e-13       4.669107549199e-08      -9.259943922027e-01       1.078368675321e-04       6.076381346468e-01       6.915885457881e-01      -1.234659189601e+00       1.078114757065e-04       2.026745503276e-04      -9.259943922070e-01       1.078862438769e-04      -1.682700370702e-03      -7.484528387130e-08       2.028815116059e-04       3.333299311457e-01      -9.259943922027e-01       1.078368675607e-04      -1.228666598179e+00       1.078368675607e-04 
