# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.149872820858e-02       2.951920944551e+04 
       1.161474200476e-02       2.955249084834e+04 
       1.173079151012e-02       2.958277055059e+04 
       1.184687660715e-02       2.960988299320e+04 
       1.196299720506e-02       2.963414057118e+04 
       1.207915323910e-02       2.965555504858e+04 
       1.219534466994e-02       2.967404306567e+04 
       1.231157148298e-02       2.968971952795e+04 
       1.242783368787e-02       2.970268398465e+04 
       1.254413131794e-02       2.971285753742e+04 
       1.266046442974e-02       2.972036469691e+04 
       1.277683310262e-02       2.972521412945e+04 
       1.289323743830e-02       2.972754263723e+04 
       1.296249739193e-02       2.972776641749e+04 
       1.300967756052e-02       2.972725251829e+04 
       1.312615361472e-02       2.972441138102e+04 
       1.324266576773e-02       2.971927169055e+04 
       1.335921420749e-02       2.971150389933e+04 
       1.347579914287e-02       2.970155583733e+04 
       1.359242080337e-02       2.968905347024e+04 
       1.370907943901e-02       2.967446833960e+04 
       1.382577532016e-02       2.965749981147e+04 
       1.394250873737e-02       2.963829138699e+04 
       1.405928000130e-02       2.961696717480e+04 
       1.417608944263e-02       2.959346247727e+04 
       1.429293741198e-02       2.956778897657e+04 
       1.440982427988e-02       2.954016925473e+04 
       1.452675043675e-02       2.951038933917e+04 
       1.464371629289e-02       2.947859536825e+04 
       1.476072227851e-02       2.944515560670e+04 
       1.487776884376e-02       2.940949486637e+04 
       1.499485645880e-02       2.937217119959e+04 
       1.511198561384e-02       2.933285679036e+04 
       1.522915681929e-02       2.929180361861e+04 
       1.534637060582e-02       2.924900570418e+04 
       1.546362752450e-02       2.920441634882e+04 
       1.558092814697e-02       2.915809123033e+04 
       1.569827306556e-02       2.911013704884e+04 
       1.581566289352e-02       2.906061395523e+04 
       1.593309826515e-02       2.900963836084e+04 
       1.605057983607e-02       2.895689329144e+04 
       1.616810828342e-02       2.890261344603e+04 
       1.628568430609e-02       2.884696726051e+04 
       1.640330862501e-02       2.878980463969e+04 
       1.652098198341e-02       2.873118113249e+04 
       1.663870514709e-02       2.867129841013e+04 
       1.675647890477e-02       2.860997123055e+04 
       1.687430406838e-02       2.854723473559e+04 
       1.699218147342e-02       2.848344705263e+04 
       1.711011197929e-02       2.841816372057e+04 
       1.722809646970e-02       2.835165488801e+04 
       1.734613585302e-02       2.828409536527e+04 
       1.746423106270e-02       2.821522657837e+04 
       1.758238305772e-02       2.814536628485e+04 
       1.770059282297e-02       2.807446622320e+04 
       1.781886136978e-02       2.800227152306e+04 
       1.793718973632e-02       2.792916895804e+04 
       1.805557898815e-02       2.785497265744e+04 
       1.817403021871e-02       2.777981028981e+04 
       1.829254454985e-02       2.770370956907e+04 
       1.841112313237e-02       2.762651263256e+04 
       1.852976714661e-02       2.754867192741e+04 
       1.864847780300e-02       2.746993221751e+04 
       1.876725634273e-02       2.739025329441e+04 
       1.888610403830e-02       2.730966729994e+04 
       1.900502219424e-02       2.722849092423e+04 
       1.912401214773e-02       2.714622593340e+04 
       1.924307526934e-02       2.706345787904e+04 
       1.936221296369e-02       2.697988447591e+04 
       1.948142667024e-02       2.689564439023e+04 
       1.960071786405e-02       2.681073970264e+04 
       1.972008805650e-02       2.672505092769e+04 
       1.983953879622e-02       2.663897731415e+04 
       1.995907166982e-02       2.655210599412e+04 
       2.007868830282e-02       2.646470630343e+04 
       2.019839036052e-02       2.637667836848e+04 
       2.031817954894e-02       2.628813271292e+04 
       2.043805761574e-02       2.619919495266e+04 
       2.055802635123e-02       2.610961295414e+04 
       2.067808758940e-02       2.601969068379e+04 
       2.079824320889e-02       2.592920629416e+04 
       2.091849513417e-02       2.583829602049e+04 
       2.103884533657e-02       2.574702915799e+04 
       2.115929583546e-02       2.565541318779e+04 
       2.127984869946e-02       2.556342248918e+04 
       2.140050604761e-02       2.547081825497e+04 
       2.152127005067e-02       2.537791798230e+04 
       2.164214293241e-02       2.528495155437e+04 
       2.176312697097e-02       2.519151167969e+04 
       2.188422450021e-02       2.509794640871e+04 
       2.200543791118e-02       2.500383420456e+04 
       2.212676965359e-02       2.490972405531e+04 
       2.224822223732e-02       2.481536375541e+04 
       2.236979823402e-02       2.472061269470e+04 
       2.249150027874e-02       2.462579608901e+04 
       2.261333107160e-02       2.453085251558e+04 
       2.273529337952e-02       2.443556206101e+04 
       2.285739003806e-02       2.434015791352e+04 
       2.297962395322e-02       2.424473575129e+04 
       2.310199810342e-02       2.414901639857e+04 
       2.322451554145e-02       2.405329690527e+04 
       2.334717939653e-02       2.395746291182e+04 
       2.346999287643e-02       2.386164543603e+04 
       2.359295926968e-02       2.376545479190e+04 
       2.371608194784e-02       2.366929663076e+04 
       2.383936436785e-02       2.357332185768e+04 
       2.396281007446e-02       2.347711242891e+04 
       2.408642270276e-02       2.338091936883e+04 
       2.421020598080e-02       2.328479809390e+04 
       2.433416373227e-02       2.318854151161e+04 
       2.445829987931e-02       2.309233999550e+04 
       2.458261844544e-02       2.299606998382e+04 
       2.470712355853e-02       2.289997556236e+04 
       2.483181945395e-02       2.280387521082e+04 
       2.495671047780e-02       2.270781878039e+04 
       2.508180109024e-02       2.261178737766e+04 
       2.520709586901e-02       2.251578055171e+04 
       2.533259951302e-02       2.242006391633e+04 
       2.545831684612e-02       2.232425735958e+04 
       2.558425282095e-02       2.222861799074e+04 
       2.571041252306e-02       2.213324092703e+04 
       2.583680117504e-02       2.203764062934e+04 
       2.596342414094e-02       2.194221666977e+04 
       2.609028693077e-02       2.184708487367e+04 
       2.621739520525e-02       2.175197249192e+04 
       2.634475478071e-02       2.165709209496e+04 
       2.647237163421e-02       2.156213411345e+04 
       2.660025190884e-02       2.146757327363e+04 
       2.672840191926e-02       2.137297049980e+04 
       2.685682815748e-02       2.127866951745e+04 
       2.698553729887e-02       2.118447570820e+04 
       2.711453620839e-02       2.109045154874e+04 
       2.724383194715e-02       2.099662095415e+04 
       2.737343177920e-02       2.090295910008e+04 
       2.750334317864e-02       2.080950940949e+04 
       2.763357383701e-02       2.071623088082e+04 
       2.776413167105e-02       2.062302197968e+04 
       2.789502483079e-02       2.053027063566e+04 
       2.802626170795e-02       2.043761244445e+04 
       2.815785094479e-02       2.034510109844e+04 
       2.828980144335e-02       2.025273128766e+04 
       2.842212237508e-02       2.016063717718e+04 
       2.855482319094e-02       2.006884027067e+04 
       2.868791363197e-02       1.997706376032e+04 
       2.882140374037e-02       1.988572301144e+04 
       2.895530387112e-02       1.979444929546e+04 
       2.908962470409e-02       1.970347096757e+04 
       2.922437725686e-02       1.961261302714e+04 
       2.935957289803e-02       1.952204036981e+04 
       2.949522336132e-02       1.943173075011e+04 
       2.963134076029e-02       1.934154899936e+04 
       2.976793760385e-02       1.925165326074e+04 
       2.990502681254e-02       1.916198838830e+04 
       3.004262173568e-02       1.907250142967e+04 
       3.018073616936e-02       1.898331056552e+04 
       3.031938437545e-02       1.889421002456e+04 
       3.045858110157e-02       1.880537096086e+04 
       3.059834160217e-02       1.871678949783e+04 
       3.073868166073e-02       1.862839775827e+04 
       3.087961761323e-02       1.854018616266e+04 
       3.102116637283e-02       1.845223825004e+04 
       3.116334545606e-02       1.836447714853e+04 
       3.130617301043e-02       1.827686942528e+04 
       3.144966784360e-02       1.818946318591e+04 
       3.159384945436e-02       1.810240003733e+04 
       3.173873806530e-02       1.801539810219e+04 
       3.188435465754e-02       1.792877000117e+04 
       3.203072100745e-02       1.784205689081e+04 
       3.217785972570e-02       1.775570396243e+04 
       3.232579429868e-02       1.766946411873e+04 
       3.247454913249e-02       1.758347992437e+04 
       3.262414959972e-02       1.749763143045e+04 
       3.277462208930e-02       1.741189395544e+04 
       3.292599405943e-02       1.732639136713e+04 
       3.307829409412e-02       1.724093711484e+04 
       3.323155196343e-02       1.715573361791e+04 
       3.338579868781e-02       1.707058691575e+04 
       3.354106660673e-02       1.698593075366e+04 
       3.369738945217e-02       1.690094362046e+04 
       3.385480242724e-02       1.681629438459e+04 
       3.401334229028e-02       1.673169533378e+04 
       3.417304744521e-02       1.664728723764e+04 
       3.433395803827e-02       1.656291438569e+04 
       3.449611606207e-02       1.647860624377e+04 
       3.465956546743e-02       1.639444815458e+04 
       3.482435228367e-02       1.631031166396e+04 
       3.499052474836e-02       1.622625664666e+04 
       3.515813344705e-02       1.614227245370e+04 
       3.532723146436e-02       1.605829995555e+04 
       3.549787454714e-02       1.597435847711e+04 
       3.567012128110e-02       1.589047607076e+04 
       3.584403328219e-02       1.580659564830e+04 
       3.601967540422e-02       1.572267293322e+04 
       3.619711596441e-02       1.563874434001e+04 
       3.637642698862e-02       1.555478264003e+04 
       3.655768447857e-02       1.547077625323e+04 
       3.674096870317e-02       1.538669075819e+04 
