#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.008844653565e-01       1.584928129242e-06      -1.216712011763e+00       2.125501433218e-03       4.191865743251e-09       1.047966435813e-08       1.162611962159e-15       2.095932871626e-09      -9.125340088221e-01       2.125501433218e-03       6.076500393824e-01       6.960649954958e-01      -1.216712011748e+00       2.125046208281e-03       1.943987449104e-04      -9.125340088451e-01       2.126456093613e-03      -1.637539272989e-03      -1.411339464414e-06       1.945992399590e-04       3.333333255918e-01      -9.125340088221e-01       2.125501433314e-03      -1.216696143426e+00       2.125501433314e-03 
       7.008943417309e-01       1.584950490394e-06      -1.216712099081e+00       2.125531392877e-03       4.192043111852e-09       1.048010777963e-08       1.162693962582e-15       2.096021555926e-09      -9.125340743106e-01       2.125531392877e-03       6.076499741386e-01       6.960649806638e-01      -1.216712099060e+00       2.125076148683e-03       1.944043411068e-04      -9.125340743430e-01       2.126486093606e-03      -1.637585361088e-03      -1.411399116971e-06       1.946048419250e-04       3.333333255916e-01      -9.125340743106e-01       2.125531393013e-03      -1.216696230294e+00       2.125531393013e-03 
       7.009042181054e-01       1.584972851548e-06      -1.216712186394e+00       2.125561352526e-03       4.192220485440e-09       1.048055121360e-08       1.162775967629e-15       2.096110242720e-09      -9.125341397955e-01       2.125561352526e-03       6.076499088984e-01       6.960649658331e-01      -1.216712186367e+00       2.125106089074e-03       1.944099373819e-04      -9.125341398372e-01       2.126516093590e-03      -1.637631449835e-03      -1.411458771219e-06       1.946104439697e-04       3.333333255914e-01      -9.125341397955e-01       2.125561352701e-03      -1.216696317158e+00       2.125561352701e-03 
       7.009720925814e-01       1.585126526541e-06      -1.216712786312e+00       2.125767247192e-03       4.193439604048e-09       1.048359901012e-08       1.163339664863e-15       2.096719802024e-09      -9.125345897338e-01       2.125767247192e-03       6.076494606385e-01       6.960648639464e-01      -1.216712786244e+00       2.125311851377e-03       1.944483994008e-04      -9.125345898404e-01       2.126722265485e-03      -1.637948208048e-03      -1.411868785304e-06       1.946489456405e-04       3.333333255899e-01      -9.125345897338e-01       2.125767247639e-03      -1.216696913990e+00       2.125767247638e-03 
       7.010399670575e-01       1.585280201569e-06      -1.216713385998e+00       2.125973141388e-03       4.194658958239e-09       1.048664739560e-08       1.163903580539e-15       2.097329479120e-09      -9.125350394985e-01       2.125973141388e-03       6.076490125482e-01       6.960647621223e-01      -1.216713385889e+00       2.125517613184e-03       1.944868651416e-04      -9.125350396700e-01       2.126928436964e-03      -1.638264996874e-03      -1.412278879259e-06       1.946874510349e-04       3.333333255884e-01      -9.125350394985e-01       2.125973142107e-03      -1.216697510589e+00       2.125973142107e-03 
       7.011078415336e-01       1.585433876632e-06      -1.216713985454e+00       2.126179035118e-03       4.195878548040e-09       1.048969637010e-08       1.164467714722e-15       2.097939274020e-09      -9.125354890903e-01       2.126179035118e-03       6.076485646273e-01       6.960646603605e-01      -1.216713985303e+00       2.125723374498e-03       1.945253346043e-04      -9.125354893266e-01       2.127134608029e-03      -1.638581816313e-03      -1.412689053093e-06       1.947259601529e-04       3.333333255869e-01      -9.125354890903e-01       2.126179036108e-03      -1.216698106958e+00       2.126179036107e-03 
       7.011757160097e-01       1.585587551731e-06      -1.216714584679e+00       2.126384928380e-03       4.197098373476e-09       1.049274593369e-08       1.165032067474e-15       2.098549186738e-09      -9.125359385096e-01       2.126384928380e-03       6.076481168756e-01       6.960645586608e-01      -1.216714584488e+00       2.125929135319e-03       1.945638077890e-04      -9.125359388107e-01       2.127340778682e-03      -1.638898666365e-03      -1.413099306812e-06       1.947644729946e-04       3.333333255854e-01      -9.125359385096e-01       2.126384929642e-03      -1.216698703097e+00       2.126384929642e-03 
       7.013165707258e-01       1.585906462037e-06      -1.216715827478e+00       2.126812201462e-03       4.199630536031e-09       1.049907634008e-08       1.166203923350e-15       2.099815268016e-09      -9.125368706084e-01       2.126812201462e-03       6.076471882292e-01       6.960643478083e-01      -1.216715827201e+00       2.126356133472e-03       1.946436601270e-04      -9.125368710442e-01       2.127768627581e-03      -1.639556298762e-03      -1.413950929964e-06       1.948444076354e-04       3.333333255823e-01      -9.125368706084e-01       2.126812203288e-03      -1.216699939487e+00       2.126812203288e-03 
       7.014574254419e-01       1.586225372494e-06      -1.216717069299e+00       2.127239472558e-03       4.202163713701e-09       1.050540928425e-08       1.167376721363e-15       2.101081856850e-09      -9.125378019742e-01       2.127239472558e-03       6.076462603079e-01       6.960641372203e-01      -1.216717068936e+00       2.126783129525e-03       1.947235284936e-04      -9.125378025448e-01       2.128196474724e-03      -1.640214063001e-03      -1.414802897257e-06       1.949243583129e-04       3.333333255791e-01      -9.125378019742e-01       2.127239474948e-03      -1.216701174899e+00       2.127239474948e-03 
       7.015982801581e-01       1.586544283103e-06      -1.216718310152e+00       2.127666741683e-03       4.204697906720e-09       1.051174476680e-08       1.168550462091e-15       2.102348953360e-09      -9.125387326141e-01       2.127666741683e-03       6.076453331093e-01       6.960639268942e-01      -1.216718309704e+00       2.127210123495e-03       1.948034128887e-04      -9.125387333195e-01       2.128624320127e-03      -1.640871959087e-03      -1.415655208763e-06       1.950043250275e-04       3.333333255760e-01      -9.125387326141e-01       2.127666744638e-03      -1.216702409342e+00       2.127666744638e-03 
