# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.732479003665e-10       8.005699357230e-15       2.234956147060e-13       0.000000000000e+00       7.228180752587e-11       9.336147532807e-12      -5.812276442416e-15 
   41       1.759822382057e-10       8.694937947394e-15       2.128425873368e-13       0.000000000000e+00       6.859560912294e-11       8.894961325813e-12      -5.781281459780e-15 
   42       1.787384711980e-10       9.421193126886e-15       2.007685764567e-13       0.000000000000e+00       6.515218311766e-11       8.478371572144e-12      -6.233843382006e-15 
   43       1.815253619111e-10       1.018521022382e-14       1.872006491891e-13       0.000000000000e+00       6.194195061595e-11       8.087395727287e-12      -6.950324693555e-15 
   44       1.843493925545e-10       1.098770459793e-14       1.720577624401e-13       0.000000000000e+00       5.894100363944e-11       7.721799994581e-12      -7.660310406058e-15 
   45       1.872143134860e-10       1.182932173892e-14       1.552606086851e-13       0.000000000000e+00       5.611952971154e-11       7.380453528235e-12      -8.110524350271e-15 
   46       1.901202793007e-10       1.271050655186e-14       1.367661272434e-13       0.000000000000e+00       5.347276968532e-11       7.062774972829e-12      -8.299973664263e-15 
   47       1.930639841599e-10       1.363159267219e-14       1.165422538462e-13       0.000000000000e+00       5.099738005890e-11       6.767532394295e-12      -8.309918156450e-15 
   48       1.960385352576e-10       1.459283411929e-14       9.455833147471e-14       0.000000000000e+00       4.868210269782e-11       6.492336786314e-12      -8.240020656231e-15 
   49       1.990331662593e-10       1.559440171251e-14       7.078509197442e-14       0.000000000000e+00       4.650717797289e-11       6.233559428361e-12      -8.209385745928e-15 
   50       2.020373113931e-10       1.663641529135e-14       4.519479394719e-14       0.000000000000e+00       4.445023449953e-11       5.987350140218e-12      -8.326472699852e-15 
   51       2.050547962517e-10       1.771905900077e-14       1.776172320848e-14       0.000000000000e+00       4.250720459242e-11       5.753209616325e-12      -8.586796583894e-15 
   52       2.080930035855e-10       1.884249110375e-14      -1.153820360743e-14       0.000000000000e+00       4.067607164736e-11       5.531243909515e-12      -8.949254787648e-15 
   53       2.111587698878e-10       2.000680905829e-14      -4.272759422248e-14       0.000000000000e+00       3.895061434785e-11       5.321118180846e-12      -9.364409979765e-15 
   54       2.142583040417e-10       2.121204761841e-14      -7.582759174641e-14       0.000000000000e+00       3.732012458417e-11       5.122025864537e-12      -9.774064096701e-15 
   55       2.173965126687e-10       2.245818892912e-14      -1.108543428932e-13       0.000000000000e+00       3.577263101455e-11       4.932977843065e-12      -1.012354313715e-14 
   56       2.205749662889e-10       2.374520009862e-14      -1.478073499304e-13       0.000000000000e+00       3.430615373353e-11       4.753824736472e-12      -1.040310125675e-14 
