#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.086505291554e+00       1.620486330493e-05      -1.225206071927e+00       2.140239958808e-04       4.410643797573e-08       1.102660949393e-07       1.278795223260e-13       2.205321898787e-08      -9.189045539450e-01       2.140239958808e-04       6.076540892092e-01       6.939463355808e-01      -1.225206071927e+00       2.139760550485e-04       1.982828499421e-04      -9.189045539450e-01       2.141210381169e-04      -1.659007068771e-03      -1.451326001194e-07       1.984868717593e-04       3.333325240606e-01      -9.189045539450e-01       2.140239958809e-04      -1.223624790510e+00       2.140239958809e-04 
       7.086505391781e+00       1.620486353695e-05      -1.225206072156e+00       2.140239989004e-04       4.410643986076e-08       1.102660996519e-07       1.278795314533e-13       2.205321993038e-08      -9.189045541170e-01       2.140239989004e-04       6.076540891411e-01       6.939463355306e-01      -1.225206072156e+00       2.139760580660e-04       1.982828556605e-04      -9.189045541170e-01       2.141210411405e-04      -1.659007115433e-03      -1.451326062657e-07       1.984868774835e-04       3.333325240605e-01      -9.189045541170e-01       2.140239989005e-04      -1.223624790696e+00       2.140239989005e-04 
       7.086505492008e+00       1.620486376897e-05      -1.225206072385e+00       2.140240019199e-04       4.410644174578e-08       1.102661043645e-07       1.278795405807e-13       2.205322087289e-08      -9.189045542890e-01       2.140240019199e-04       6.076540890730e-01       6.939463354804e-01      -1.225206072385e+00       2.139760610835e-04       1.982828613789e-04      -9.189045542891e-01       2.141210441641e-04      -1.659007162095e-03      -1.451326124120e-07       1.984868832077e-04       3.333325240605e-01      -9.189045542890e-01       2.140240019201e-04      -1.223624790882e+00       2.140240019201e-04 
       7.086506494275e+00       1.620486608920e-05      -1.225206074679e+00       2.140240321154e-04       4.410646059604e-08       1.102661514901e-07       1.278796318538e-13       2.205323029802e-08      -9.189045560094e-01       2.140240321154e-04       6.076540883918e-01       6.939463349784e-01      -1.225206074679e+00       2.139760912585e-04       1.982829185625e-04      -9.189045560095e-01       2.141210744006e-04      -1.659007628718e-03      -1.451326738748e-07       1.984869404500e-04       3.333325240603e-01      -9.189045560094e-01       2.140240321161e-04      -1.223624792739e+00       2.140240321161e-04 
       7.086507496543e+00       1.620486840943e-05      -1.225206076973e+00       2.140240623109e-04       4.410647944631e-08       1.102661986158e-07       1.278797231271e-13       2.205323972316e-08      -9.189045577297e-01       2.140240623109e-04       6.076540877106e-01       6.939463344765e-01      -1.225206076973e+00       2.139761214335e-04       1.982829757462e-04      -9.189045577299e-01       2.141211046370e-04      -1.659008095340e-03      -1.451327353376e-07       1.984869976923e-04       3.333325240600e-01      -9.189045577297e-01       2.140240623121e-04      -1.223624794597e+00       2.140240623121e-04 
       7.086508498811e+00       1.620487072966e-05      -1.225206079267e+00       2.140240925064e-04       4.410649829658e-08       1.102662457415e-07       1.278798144004e-13       2.205324914829e-08      -9.189045594500e-01       2.140240925064e-04       6.076540870295e-01       6.939463339746e-01      -1.225206079267e+00       2.139761516085e-04       1.982830329298e-04      -9.189045594504e-01       2.141211348734e-04      -1.659008561963e-03      -1.451327968004e-07       1.984870549346e-04       3.333325240598e-01      -9.189045594500e-01       2.140240925081e-04      -1.223624796454e+00       2.140240925081e-04 
       7.086518521490e+00       1.620489393196e-05      -1.225206102205e+00       2.140243944613e-04       4.410668679960e-08       1.102667169990e-07       1.278807271361e-13       2.205334339980e-08      -9.189045766536e-01       2.140243944613e-04       6.076540802178e-01       6.939463289551e-01      -1.225206102204e+00       2.139764533587e-04       1.982836047669e-04      -9.189045766549e-01       2.141214372376e-04      -1.659013228192e-03      -1.451334114297e-07       1.984876273579e-04       3.333325240575e-01      -9.189045766536e-01       2.140243944682e-04      -1.223624815029e+00       2.140243944682e-04 
       7.086528544169e+00       1.620491713427e-05      -1.225206125143e+00       2.140246964162e-04       4.410687530317e-08       1.102671882579e-07       1.278816398772e-13       2.205343765158e-08      -9.189045938573e-01       2.140246964162e-04       6.076540734061e-01       6.939463239355e-01      -1.225206125142e+00       2.139767551089e-04       1.982841766047e-04      -9.189045938595e-01       2.141217396018e-04      -1.659017894428e-03      -1.451340260608e-07       1.984881997820e-04       3.333325240552e-01      -9.189045938573e-01       2.140246964284e-04      -1.223624833603e+00       2.140246964283e-04 
       7.086538566847e+00       1.620494033657e-05      -1.225206148081e+00       2.140249983712e-04       4.410706380728e-08       1.102676595182e-07       1.278825526235e-13       2.205353190364e-08      -9.189046110609e-01       2.140249983712e-04       6.076540665944e-01       6.939463189160e-01      -1.225206148079e+00       2.139770568591e-04       1.982847484433e-04      -9.189046110642e-01       2.141220419660e-04      -1.659022560670e-03      -1.451346406935e-07       1.984887722070e-04       3.333325240529e-01      -9.189046110609e-01       2.140249983885e-04      -1.223624852178e+00       2.140249983884e-04 
       7.086548589526e+00       1.620496353887e-05      -1.225206171019e+00       2.140253003261e-04       4.410725231192e-08       1.102681307798e-07       1.278834653750e-13       2.205362615596e-08      -9.189046282645e-01       2.140253003261e-04       6.076540597828e-01       6.939463138965e-01      -1.225206171017e+00       2.139773586093e-04       1.982853202828e-04      -9.189046282688e-01       2.141223443302e-04      -1.659027226918e-03      -1.451352553281e-07       1.984893446327e-04       3.333325240505e-01      -9.189046282645e-01       2.140253003486e-04      -1.223624870752e+00       2.140253003486e-04 
